id,category,question,gold_pages,retrieved_pages,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank
Q01,factual,What network size was used in the numerical simulations?,[2],"[2, 1, 3, 6, 7]",1.0,1,1,1,1.0
Q02,factual,What numerical integration method was used?,[2],"[4, 3, 6, 4, 3]",,0,0,0,0.0
Q03,parameter,What time step was used in the simulations?,[2],"[6, 4, 2, 2, 2]",3.0,0,1,1,0.3333333333333333
Q04,parameter,What distribution was used for the natural frequencies?,[2],"[1, 1, 3, 1, 2]",5.0,0,0,1,0.2
Q05,parameter,What are K1 and K2 in the model?,[2],"[5, 1, 2, 5, 3]",3.0,0,1,1,0.3333333333333333
Q06,numerical,What range of K1 was used for forward continuation?,[2],"[2, 4, 5, 3, 5]",1.0,1,1,1,1.0
Q07,conceptual,"For fixed K2 = 8, what happens to the synchronization transition as phase lag beta increases?","[2, 4]","[5, 3, 5, 1, 3]",,0,0,0,0.0
Q08,conceptual,What happens when K2 is varied at fixed K1 = 2.5 as beta increases?,"[3, 4, 5]","[4, 3, 5, 2, 5]",1.0,1,1,1,1.0
Q09,equation,What condition determines the saddle-node bifurcation?,[4],"[4, 3, 6, 4, 5]",1.0,1,1,1,1.0
Q10,equation,What condition determines the onset of continuous transition?,[4],"[4, 6, 3, 4, 3]",1.0,1,1,1,1.0
Q11,analytical,What critical phase lag is obtained for K2 = 8 at the onset of continuous transition?,[4],"[4, 5, 5, 5, 3]",1.0,1,1,1,1.0
Q12,analytical,What role does the saddle-node bifurcation play in the discontinuous transition?,"[4, 6]","[6, 6, 4, 4, 4]",1.0,1,1,1,1.0
Q13,conceptual,What is the main surprising effect of higher-order interactions on phase frustration?,"[3, 5, 6]","[2, 1, 1, 3, 1]",4.0,0,0,1,0.25
